id,first_name,last_name,email,phone,company,job_title,notes,is_favorite,created_at,updated_at
21fb4b18-5af9-473d-81a4-04e939383035,Alexander,Davies,alexander.9179@example.test,+44 20 7946 0603,"Gibson, Ahmed and Cook",Software Engineer,Dolorum deleniti ipsum in eius dolorum unde ipsam similique mollitia amet voluptatum saepe.,True,2025-10-07,2025-12-01
da2eb053-649e-4f36-bd65-5341996dfed1,Colin,Bennett,colin.9830@example.test,+44 20 7946 0936,Thompson Group,Sales Director,Distinctio id animi fugiat voluptates eaque quos iste in.,True,2025-10-17,2026-07-11
5f8f8142-2e80-4e17-bbfe-a5f378d2812b,Suzanne,Adams,suzanne.7916@example.test,+44 20 7946 0714,Nash-Doyle,Customer Success Manager,Neque molestiae quibusdam animi nesciunt magnam sequi culpa vero aspernatur delectus.,False,2026-03-24,2026-04-24
44478d83-5cab-4ccf-b013-5241cc7ee0cb,Marilyn,Townsend,marilyn.5119@example.test,+44 20 7946 0481,Ahmed PLC,Support Specialist,Neque aliquam aspernatur omnis natus et ea.,False,2026-04-28,2026-07-19
1dc19453-21d4-48ad-80ea-20a40d20a935,Aimee,Edwards,aimee.6573@example.test,+44 20 7946 0825,Phillips and Sons,Account Manager,Itaque ut vel ab numquam natus aut modi magni consequatur expedita architecto doloribus.,False,2026-03-17,2026-05-23
386df6f4-a7f4-43a6-96f0-3dc4baefbf0d,Glen,Fraser,glen.9201@example.test,+44 20 7946 0369,"Campbell, Talbot and Scott",Software Engineer,Ab repellendus error optio vel consequatur blanditiis autem mollitia earum non quaerat.,False,2026-04-25,2026-07-10
0298c88b-6a66-4190-aeed-2d05f7137b84,Dennis,Holmes,dennis.6310@example.test,+44 20 7946 0456,Lowe-Smith,Sales Director,At incidunt eius.,True,2026-01-29,2026-03-31
2dc49ce3-7271-4864-b893-fcfc072d4711,Paul,Shepherd,paul.1949@example.test,+44 20 7946 0603,Todd LLC,Product Designer,Qui mollitia incidunt ab asperiores.,True,2026-04-02,2026-07-08
63d0c72e-3c91-45e7-ae38-8de6e07d18a2,Hollie,Cooke,hollie.9727@example.test,+44 20 7946 0258,"Fowler, Connolly and Fisher",Operations Lead,Consectetur est tempore recusandae similique tempore distinctio dolorum aut quod.,False,2026-05-05,2026-06-07
9babc143-b0b6-4169-b2ee-ddad9d72f4dc,Jane,Simpson,jane.9645@example.test,+44 20 7946 0147,"Nash, Murray and Taylor",Support Specialist,Sunt ad qui ex ut rem sint repellat eaque.,False,2026-07-16,2026-07-27
a408a240-59ec-4c22-8115-a4971935e22e,Rita,Griffiths,rita.6107@example.test,+44 20 7946 0123,Taylor and Sons,Account Manager,Repellendus itaque esse recusandae dolorem ad deserunt eveniet sint vitae eius odit id.,False,2026-04-18,2026-05-03
e599c5b8-3997-4f15-87ff-ed458b51d1db,Paula,Fry,paula.5061@example.test,+44 20 7946 0789,Clark LLC,Customer Success Manager,Neque voluptates alias nisi exercitationem.,False,2026-05-25,2026-06-23
fb427cf4-dbf4-40ef-87b7-dc38841ae1a5,Terry,Williams,terry.4608@example.test,+44 20 7946 0592,"Clark, Sutton and Bates",Finance Analyst,Provident a unde modi.,False,2025-08-27,2025-11-22
825ad4e5-2f45-40a6-8ac2-bde9ec09f5b3,Vanessa,Chapman,vanessa.2104@example.test,+44 20 7946 0369,Rees-Adams,Customer Success Manager,Numquam optio commodi tempore magni pariatur eveniet possimus mollitia deleniti pariatur fugit quibusdam cupiditate necessitatibus illo rerum esse.,False,2026-02-23,2026-03-24
a598c266-b87b-4690-aa1e-c0050a34c492,Rhys,Sykes,rhys.1887@example.test,+44 20 7946 0456,"Jenkins, Stanley and Williams",Sales Director,Maiores recusandae vero quasi omnis.,False,2026-01-17,2026-03-21
49910a51-b9a7-48ca-87a5-b277da43de85,Glen,Lewis,glen.4139@example.test,+44 20 7946 0603,"Bibi, Green and Watson",Support Specialist,Perferendis dolore dicta ad doloribus labore sed asperiores impedit occaecati deserunt possimus laudantium doloribus omnis ab quibusdam.,True,2025-10-29,2025-12-17
cb1be9b9-d851-4940-9a3b-013ddabee8bd,Kenneth,Marsh,kenneth.8579@example.test,+44 20 7946 0147,Jarvis Ltd,Product Designer,Iure nam totam commodi consequatur iure minus nam.,False,2026-05-05,2026-05-11
671caa1a-87ec-4abe-97a2-3289d4428c13,Elliott,Giles,elliott.9856@example.test,+44 20 7946 0258,Osborne-Peters,Software Engineer,Incidunt tenetur ipsum culpa similique ipsum quibusdam saepe.,False,2025-11-26,2026-03-10
8dd54424-578e-4577-b809-f9920ac026de,Martyn,Miller,martyn.8956@example.test,+44 20 7946 0936,"Jones, Smith and Williams",Account Manager,Doloremque excepturi tempora aspernatur corrupti fugit corrupti distinctio impedit ex.,False,2025-08-27,2025-10-20
